,international
1,"I. Sim, Y. G. Sun, S. H. Kim, S. W. Lee, C. G. Kim, and Jin Young Kim, “Performance of digital drone signage system based on DUET”, Journal of Web Engineering (JWE), vol. 21, no. 2, pp. 391-404, Jan. 2022. "
2,"D. Lee, Y. G. Sun, I. Sim, J. H. Kim, Y. Shin, D. I. Kim, and Jin Young Kim, ""Neural episodic control-based adaptive modulation and coding scheme for inter-satellite communication link,"" IEEE ACCESS, vol. 9, pp. 159175-159186, Nov. 2021."
3,"J. Seon, Y. G. Sun, S. H. Kim, and Jin Young Kim, “Time-lapse image method for classifying appliances in nonintrusive load monitoring,” Energies, vol. 14, no. 22, 7630, Nov. 2021. "
4,"S. Lee, J. Seon, C. Kyeong, S. H. Kim, Y. G. Sun, and Jin Young Kim, “Novel energy trading system based on deep-reinforcement learning in microgrids,” Energies, vol. 14, no. 17, 5515, Sept. 2021."
5,"Y. M. Hwang, I. Sim, Y. G. Sun, J. P. Cho and Jin Young Kim, “Game-theory modeling of multicolor LED-based VLC systems under smart interference,” IEICE Trans. Fundamentals of Electronics, vol E104-A, no. 03, pp. 1-5, Mar. 2021."
6,"I. Sim, Y. G. Sun, D. Lee, S. H. Kim, J. Lee, J. H. Kim, Y. Shin and Jin Young Kim, “Deep learning based successive interference cancellation scheme in nonorthogonal multiple access downlink network,” Energies, vol. 13, no. 23, pp. 1-12, Nov. 2020."
7,"SCI [71] D. Lee, Y. G. Sun, S. H. Kim, I. Sim, Y. M. Hwang, Y. Shin, D. I. Kim and Jin Young Kim, “DQN-based adaptive modulation scheme over wireless communication channels,” IEEE Communications Letters, vol. 24, no. 6, pp. 1289-1293, June 2020."
8,"SCI [70] Jin Young Kim, Y. M. Hwang, Y. G. Sun, I. Sim, D. I. Kim and X. Wang, “Detection for non-technical loss by smart energy theft with intermediate monitor meter in smart grid,” IEEE ACCESS, vol. 7, pp. 129043-129053, Sept. 2019."
9,"SCI [69] L. N. Nguyen, Y. Shin, D. I. Kim and Jin Yong Kim, “Signal detection for ambient backscatter communication with OFDM carriers,” Sensors, vol. 13, no. 3, pp. 1-14, Jan. 2019."
10,"SCI [68] I. Sim, Y. M. Hwang, Y. G. Sun, Y. Shin, D. I. Kim and Jin Young Kim, “Mitigation of phase cancellation for efficient decoding and RF energy harvesting in tag-to-tag communications,” IEEE ACCESS, vol. 6, no. 1, pp. 73724-73732, Dec. 2018."
11,"SCI [67] Y. M. Hwang, E. C. Kim and Jin Young Kim, “Performance analysis of PN code acquisition with MIMO scheme for a UWB TH/CDMA system,” Wireless Communications and Mobile Computing (WCMC), vol. 2018, no. 2835741, pp. 1-11, Oct. 2018."
12,"SCI [66] Y. M. Hwang, I. Sim, Y. G. Sun, H. J. Lee and Jin Young Kim, “Game-theory modeling for social welfare maximization in smart grids,” Energies, vol. 11, no. 9, pp. 1-23, Sept. 2018."
13,"SCI [65] Y. M. Hwang, J. H. Jung, J. K. Seo, J. J. Lee and Jin Young Kim, “Energy-efficient transmission strategy with dynamic load for power line communications,” IEEE Transactions on Smart Grid, vol. 9, no. 3, pp. 2382-2390, May. 2018."
14,"SCI [64] S. G. Hong, Y. M. Hwang, S. Y. Lee, Y. Shin, D. I. Kim and Jin Young Kim, “Game-theoretic modeling of backscatter wireless sensor network under smart interference,” IEEE Communications Letters, vol. 22, no. 4, pp. 804-807, Apr. 2018."
15,"SCI [63] Y. M. Hwang, J. H. Jung, Y. Shin, D. I. Kim and Jin Young Kim, “Optimal transmission policy in decoupled RF energy harvesting networks,” IEICE Transactions on Fundamentals, vol. E101-A, no. 2, pp. 516-520, Feb. 2018."
16,"SCI [62] Y. M. Hwang, G. H. Cha, J. K. Seo, J. J. Lee and Jin Young Kim, “Adaptive thresholding for signal denoising for powerline communications,” IEICE Transactions on Fundamentals, vol. E100-A, no. 12, pp. 3041-3044, Dec. 2017."
17,"SCI [61] Y. M. Hwang, J. Jung, K. Y. Kim, J. S. Lee, Y. Shin and Jin Young Kim, ""Energy-efficient resource allocation strategy for low probability of intercept and anti-jamming systems,"" IEICE Transactions on Fundamentals, vol. E100-A, no. 11, pp. 2498-2502, Nov. 2017."
18,"SCI [60] Thu N. L. Nguyen, Y. Shin, Jin Young Kim and D. I. Kim, ""Applicability of compressive sensing for wireless energy harvesting nodes,"" Energies, vol. 10, no. 11, pp. 1-15, Nov. 2017."
19,"SCI [59] Y. M. Hwang, S. Y. Lee, I. Sim and Jin Young Kim, “Positioning error reduction techniques for precision navigation by post-processing,” IEICE Transactions on Fundamentals, vol. E100-A, no. 10, pp. 2158-2161, Oct. 2017."
20,"SCI [58] M. E. Ahmed, D. I. Kim, Jin Young Kim and Y. Shin, ""Energy arrival-aware detection threshold in wireless-powered cognitive radio networks,"" IEEE Transactions on Vehicular Technology, vol. 66, no. 10, pp. 9201-9213, Oct. 2017."
21,"SCI [57] Y. M. Hwang, J. H. Park, Y. Shin, Jin Young Kim and D. I. Kim, “Transmission power and antenna allocation for energy efficient RF energy harvesting networks with massive MIMO,” Energies, vol. 10, no. 6, pp. 1-18, June 2017."
22,"SCI [56] Y. M. Hwang, Y. Song, K. Y. Kim, J. S. Lee, Y. Shin and Jin Young Kim, ""TOA based recalibration systems for improving LOS/NLOS identification,"" IEICE Transactions on Fundamentals, vol. E100-A, no. 5, pp. 1267-1270, May 2017."
23,"SCI [55] K. Y. Kim, S. W. Lee, Y. M. Hwang, J. S. Lee, Y. S. Kim, Jin Young Kim and Y. Shin, ""Correlation-based optimal chirp rate allocation for chirp spread spectrum using multiple linear chirps,"" IEICE Transactions on Fundamentals, vol. E100-A, no. 4, pp. 1088-1091, Apr. 2017."
24,"SCI [54] S. Wu, Y. Shin, Jin Young Kim and D. I. Kim, ""Probability of packet loss in energy harvesting nodes with cognitive radio capabilities,"" IEEE Communications Letters, vol. 20, no. 5, pp. 978-981, May 2016."
25,"SCI [53] J. K. Seo, J. Ju, Jin Young Kim and J. J. Lee, “Automated residential demand response based on advanced metering infrastructure network,” International Journal of Distributed Sensor Networks, vol. 2016, no. 4234806, pp. 1-10, Feb. 2016."
26,"SCI [52] J. S. Kim, Y. H. Lee, B. J. Lee, J. C. Lee, J. J. Choi Jin Young Kim, “Effect of magneto dielectric ceramics for small antenna application,” Journal of Electrical Engineering & Technology (JEET), vol. 9, no. 1, pp. 273-279, Jan. 2014."
27,"SCI [51] H. Nam, M. G. Lee, J. G. Park, B. J. Lee, Jin Young Kim, J. J. Choi and J. C. Lee, “Design of tunable bandpass filter with an improved J-inverter,” Microwave and Optical Technology Letters, vol. 55, no. 4, pp. 852-85, Apr. 2013."
28,"SCI [50] M. Li, Z. Fang, S. S. Kwoun, B. J. Lee, Jin Young Kim, J. J. Choi and J. C. Lee, “Differential mode wideband bandpass filter for UWB application,” Microwave and Optical Technology Letters, vol. 55, no. 1, pp. 197-200, Jan. 2013."
29,"SCI [49] Y. H. Kim, E. C. Kim and Jin Young Kim, ""Double binary turbo coded data transmission of STBC UWB systems for u-healthcare applications,"" Journal of Advanced Smart Convergence, vol. 1, no. 1, pp. 27-33, May 2012."
30,"SCI [48] J. N. Bae, Jin Young Kim, G. Kim, Y. T. Lee and J. S. Cha, ""Performance of TZCD-MBOK watermarking scheme in T-DMB system,"" Journal of Multimedia Tools and Applications (Springer), vol. 57, no. 2, pp. 359-372, Mar. 2012."
31,"SCI [47] F. Y. Meng, F. Zhang, K. Zhang, Q. Wu, Jin Young Kim, J. J. Choi, B. Lee and J. C. Lee, ""Low-loss magnetic metamaterial based on analog of electromagnetically induced transparency,"" IEEE Transactions on Magnetics, vol. 47, no. 10, pp. 3347-3350, Oct. 2011."
32,"SCI [46] I. H. Park, Y. H. Kim, J. S. Cha, Y. M. Jang and Jin Young Kim, ""Performance of efficient signal detection for LED-ID systems,"" Wireless Personal Communications (Springer), vol. 60, no. 3, pp. 533-545, Oct. 2011."
33,"SCI [45] F. Y. Meng, J. H. Fu, K. Zhang, Q. Wu, Jin Young Kim, J. J. Choi, B. Lee and J. C. Lee, ""Metamaterial analogue of electromagnetically induced transparency in two orthogonal directions,"" Journal of Applied Physics, vol. 44, no. 6, pp. 1-7, June 2011."
